finess,finessgeo,coordxet,coordyet
010008803,010009207,871511.3,6569687
010008803,010009215,871511.3,6569687
010787109,010009223,900979.5,6572377.3
690035159,010009231,851322.3,6559466.5
690035159,010009249,838952.3,6565160.6
690035159,010009264,904364.7,6576879.8
690035159,010009272,903865.2,6576756
690035159,010009280,898681.6,6566623.9
010780054,010009314,872116.5,6569280.9
690035159,010009330,881515.7,6542153.5
750719239,010009348,939753.3,6578202.6
690035241,010009355,854962.2,6528032.9
690035241,010009363,851647.3,6526839.2
010009371,010009389,871057,6568848.5
010009397,010009405,910533.9,6520547.6
010785921,010009413,882137.4,6544043.2
010789600,010009421,869342,6569084.8
690035159,010009439,881975.5,6536148.3
690035159,010009447,870471.5,6535890.1
010009462,010009470,882724.8,6542583.8
010009488,010009496,880459.3,6552608.9
010009504,010009512,872162.7,6568444.2
010009520,010009538,909065.9,6533959.5
010009546,010009553,855188.4,6528100.2
690035241,010009587,836089.7,6544323.7
010785939,010009645,865386.3,6598420.4
690000484,010009652,890219.5,6526406.6
690000484,010009660,884079.7,6540716.7
010785939,010009678,871605.6,6567141.1
010009686,010009694,851646.2,6558733.1
010780054,010009702,871097,6569497
010785921,010009710,903889.2,6575912.5
010785921,010009728,908768.6,6520986
010785921,010009744,933805.3,6575854.6
010785921,010009751,853048.2,6527441.4
010785921,010009785,880905.6,6542834.9
750050916,010009793,872231.4,6569866.2
690000484,010009835,871484.1,6570253
010009843,010009850,871626.5,6570058
010009843,010009868,871319.9,6569450.2
010009843,010009876,853615.4,6570593.6
010009884,010009892,890148.4,6526326.2
010009900,010009918,865177.3,6530277.3
690035159,010009926,857070.5,6546449
010783009,010009934,871976,6568624.2
010783009,010009942,871779.2,6571722.1
010783009,010009967,850840.5,6560049
010783009,010009983,871779.2,6571722.1
010783009,010009991,882141.9,6542534.3
010783009,010010007,863810.9,6584119
690035159,010010015,859550.1,6530053.5
010010023,010010031,890901.3,6574133.6
010010049,010010056,897169.8,6518805.7
740013578,010010122,917923.5,6560150.8
690799556,010010130,904334.5,6576395
690799556,010010148,870919.1,6569133.6
690799556,010010155,872311.2,6569577.5
730000015,010010163,908642.2,6521545.1
920039690,010010171,916462.1,6561152.2
010010205,010010213,848368.5,6580963
010010247,010010254,901636,6545871.1
010010262,010010270,842598.7,6574637.2
690035159,010010288,882116.8,6545135.3
010006336,010010320,934716.3,6588246
690000484,010010338,879074.1,6544356.3
010010346,010010353,878749.6,6562877.5
010010361,010010379,850893.6,6559847.8
010010387,010010395,896954.1,6562796.8
010010403,010010411,873411.2,6571006.6
010010429,010010437,873651.1,6585144.9
010010445,010010452,876685.8,6579218.1
010010460,010010478,924121.8,6564051.9
930013768,010010486,871053.3,6569068.6
010783009,010010494,901402.8,6545256.7
010010502,010010510,882317.6,6535854
010010528,010010536,879437.2,6567013.2
010010544,010010551,889075.8,6541816
750050916,010010585,939798.5,6578225.7
420013971,010010593,859515.2,6530032.2
010783009,010010601,851270.1,6532331.1
010010627,010010635,898894.1,6568138
010011567,010010650,896863.5,6562967.7
010011427,010010668,939812.6,6577526.8
010010676,010010684,861914.7,6591477.3
010785947,010010692,936759.3,6578805.2
750719239,010010700,901065.7,6564988
010010726,010010734,904202.1,6576868.5
010010742,010010759,857656,6573010.5
360000707,010010775,851241.7,6527058.4
010783009,010010791,901122.8,6545539
690035159,010010817,900774.2,6545779.9
010010825,010010833,909011.9,6521295.1
750050916,010010841,869588.8,6569979.1
010785897,010010858,917214.9,6561273
750045072,010010874,870430.3,6568991.9
010785897,010010890,904123.8,6576281.6
010010908,010010916,871010.1,6570507
750719239,010010965,939757.7,6578126.7
750050916,010010973,845184.4,6583520.4
690042114,010010999,851821.8,6526931.6
010011021,010011039,890549.7,6525994.5
010008415,010011104,882724.8,6542583.8
690055850,010011112,873804.9,6570460.6
010008381,010011120,873766.1,6570414.6
750808511,010011153,871712.2,6571287.2
010011161,010011179,861095,6530026.3
010011138,010011195,871372.3,6571770.2
690042692,010011203,881030.7,6540353.2
010011211,010011229,938348.4,6582411.7
010011237,010011245,853469.4,6527446.1
010000735,010011252,872143,6568727.6
010012532,010011260,850738.4,6559090.6
010789600,010011278,871218.8,6568244.7
010789600,010011294,871218.8,6568244.7
010011302,010011310,904674.2,6576670.1
690040050,010011328,848180.5,6531182
210012290,010011385,882154.6,6545163.7
010011393,010011401,885972.2,6556890.3
010785897,010011443,904089.4,6576237.7
010011450,010011468,939642.8,6577813
010011476,010011484,869683.5,6569368.5
010009033,010011492,900748.3,6565093.7
930026109,010011526,882074.3,6542103.4
750045072,010011542,871235.1,6570180
010005189,010011575,902284.5,6578385.1
010011583,010011591,851909.1,6527058.5
010011609,010011617,935221.3,6584833.3
010011625,010011633,933701.4,6575703.7
010000222,010011641,901232.8,6545080.7
250020641,010011658,866463.2,6578613.8
010011666,010011674,925808.4,6569112
010011682,010011690,856979.2,6546756.4
010785921,010011708,872259.7,6567500.4
010785921,010011716,871823.7,6574394
690793195,010011724,925648.3,6569677.3
690793195,010011732,935725.5,6586380.5
010011740,010011757,882520.4,6547657.7
010011765,010011773,875887.2,6568374.8
010010882,010011781,870118.2,6536469.4
010011799,010011807,863790.7,6574130.3
010789600,010011815,871218.8,6568244.7
010009033,010011864,909024.8,6521619.9
010011849,010011872,909065.9,6533959.5
010009033,010011880,939910.7,6578324.9
710016205,010011898,871954.2,6569835.4
010785947,010011906,898735.2,6568141.2
010000255,010011914,871632.8,6569212.9
010790111,010011948,904633.7,6576933
010011955,010011963,836155.8,6548170.5
010011971,010011989,875376.4,6533694.2
010011997,010012003,904605,6576501.3
010012011,010012029,870603.3,6568148.4
010012078,010012086,877360.2,6529122.1
010783009,010012094,939656.3,6578454.4
010012128,010012136,904706.3,6576647.3
750074338,010012169,871235.1,6569677
010012177,010012185,835817.4,6554935.6
010012904,010012193,933701.4,6575703.7
010783009,010012201,909121.6,6521304.9
010012219,010012227,918222.4,6560207.6
010003028,010012235,904151.7,6576178.4
010012532,010012250,855325.9,6528693.5
010012276,010012284,882724.8,6542583.8
690000377,010012300,903494.4,6576873.7
570027839,010012318,860357.5,6528636.4
010012326,010012334,863475.2,6584000.3
010785806,010012342,871303.1,6569379.6
010783009,010012359,901834,6544740.2
010783009,010012367,901834,6544740.2
690042643,010012375,854882.9,6526643.5
010012383,010012391,859438.8,6534625.1
010784270,010012409,857023.6,6546142.6
920037751,010012425,904204.7,6576314.4
010012433,010012441,870529.6,6535640.4
010012458,010012466,929617.1,6574447.7
010012474,010012482,904155.7,6576568.8
010012490,010012508,835855.1,6554960.4
250020641,010012516,880268.9,6589477.9
250020641,010012524,838872.8,6556466.8
010003929,010012540,851571.1,6527190.3
010012557,010012565,871511.3,6569687
010783009,010012581,873222.9,6572033.7
010012623,010012631,935192.1,6586117
010012649,010012656,933186.6,6577271.7
250020641,010012664,859202.4,6597394.4
010785921,010012672,882344.8,6542921.9
010789600,010012680,869686.5,6571201.7
010006336,010012698,935952,6586482.9
750719239,010012722,870942,6570957.9
010012730,010012748,839323.5,6549434.7
920028537,010012755,873514.2,6571054.8
010011971,010012763,877203.2,6547264.4
690799556,010012789,871217.5,6568763.7
690799556,010012797,870919.1,6569133.6
010012805,010012813,886397,6551628.9
010012821,010012839,871559.6,6570075.4
010785947,010012854,898735.2,6568141.2
010012862,010012870,840016.7,6565751.8
420018269,010012896,871620.8,6570043
010012904,010012912,844860.7,6579365.4
010012706,010012938,904462.7,6575777.5
010012953,010012961,904588.4,6576987.2
770027175,010012979,873852.1,6572403.1
010012987,010012995,871232.8,6569894
010013001,010013019,902559.7,6575606
010013027,010013035,873489.5,6571035.2
010783009,010013043,871779.2,6571722.1
010013050,010013068,916178.8,6531386.1
010013076,010013084,918339.4,6560346.3
010013092,010013100,840741.4,6535474.9
010013118,010013126,898864.6,6568100
010780054,010013134,871511.3,6569687
740781133,010013142,935221.3,6584833.3
010783009,010013159,871976,6568624.2
010783009,010013167,871767.2,6571222
010013175,010013183,871511.3,6569687
010789600,010013191,940741.5,6588091.7
010013209,010013217,848180.5,6531182
010013225,010013233,872893.4,6571139.9
010013241,010013258,881873.4,6544758.6
010013266,010013274,880459.3,6552608.9
750061996,010013282,871874.5,6568924
