finess;annee;mois;finessGeo;num_UM;type_UM;mode_hospit;date_deb;nblit
020000287;2024;12;020000535;0006;70;P;01/01/2023;1
020000287;2024;12;020000535;0001;29;P;01/07/2008;1
020000287;2024;12;020000535;0017;70;C;01/01/2009;4
020000287;2024;12;020000535;0010;53;P;01/01/2023;1
020000287;2024;12;020000535;0011;29;P;01/01/2016;1
020000287;2024;12;020000535;0003;70;P;01/06/2023;1
020000287;2024;12;020000535;0024;53;P;01/01/2023;1
020000287;2024;12;020000535;0002;29;P;01/05/2021;1
020000287;2024;12;020000535;0013;53;P;01/01/2023;1
020000287;2024;12;020000535;0018;53;P;01/01/2023;1
020000360;2024;12;020000360;0003;53;C;16/04/2024;0
020000360;2024;12;020000360;0005;53;P;16/04/2024;0
020000360;2024;12;020000360;0004;53;P;01/01/2008;1
020000360;2024;12;020000360;0002;53;C;01/01/2012;1
020000360;2024;12;020000360;0006;29;P;01/01/2008;1
020000360;2024;12;020000360;0001;53;M;01/01/2012;1
020004404;2024;12;020001061;0001;29;C;01/08/2017;13
020004404;2024;12;020001061;0016;29;M;01/01/2009;21
020004404;2024;12;020001061;0042;29;M;01/01/1990;26
020004404;2024;12;020001061;0011;01A;C;01/01/1990;10
020004404;2024;12;020001061;0030;07A;C;03/07/2006;2
020004404;2024;12;020001061;0031;07A;C;30/07/2006;2
020004404;2024;12;020001061;0032;29;M;01/01/1990;13
020004404;2024;12;020001061;0009;02C;C;04/10/2024;3
020004404;2024;12;020001061;0009;03A;C;01/02/2008;4
020004404;2024;12;020001061;0026;29;M;01/01/1990;22
020004404;2024;12;020001061;0013;02C;C;04/10/2024;3
020004404;2024;12;020001061;0013;02A;C;14/01/2008;4
020004404;2024;12;020001061;0014;53;M;03/07/2000;0
020004404;2024;12;020001061;0033;04;C;01/01/1990;6
020004404;2024;12;020001061;0005;71;M;01/01/1990;15
020004404;2024;12;020001061;0020;43;P;01/01/2020;0
020004404;2024;12;020001061;0035;29;C;01/01/1990;8
020004404;2024;12;020001061;0006;28;M;01/01/1990;8
020004404;2024;12;020001061;0025;53;M;01/01/1990;0
020004404;2024;12;020001061;0018;53;C;01/07/2015;0
020004404;2024;12;020001061;0028;29;P;01/01/2017;0
020004404;2024;12;020001061;0029;70;M;01/01/1990;3
020004404;2024;12;020001061;0041;53;P;01/01/2020;0
020004404;2024;12;020001061;0004;53;M;29/01/1992;0
020004404;2024;12;020001061;0002;53;P;01/01/2020;0
020004404;2024;12;020001061;0039;53;P;01/06/2011;10
020004404;2024;12;020001061;0015;53;P;01/01/2020;0
020004404;2024;12;020001061;0021;53;P;01/01/2020;0
020004404;2024;12;020001061;0003;53;P;01/01/2020;0
020004404;2024;12;020001061;0034;53;P;01/01/2020;0
020004404;2024;12;020001061;0023;53;P;01/01/2020;0
020004404;2024;12;020001061;0012;53;P;01/01/2020;0
020004404;2024;12;020001061;0008;53;P;01/01/2020;0
020004404;2024;12;020001061;0037;53;P;01/01/2020;0
020004404;2024;12;020001061;0043;52;M;01/04/1992;1
020004404;2024;12;020001061;0007;53;C;01/07/2015;15
020004404;2024;12;020001061;0024;53;P;01/01/2020;0
020004404;2024;12;020001061;0022;53;C;01/02/2008;0
020004404;2024;12;020001061;0027;43;P;01/01/2020;0
020004404;2024;12;020001061;0040;53;P;01/01/2020;0
020004404;2024;12;020001061;0019;53;C;01/02/2008;0
020004404;2024;12;020001061;0017;53;M;01/01/2000;0
020004404;2024;12;020001061;0010;28;P;01/11/2024;0
020004495;2024;12;020001087;0003;27;C;01/07/2015;20
020004495;2024;12;020001087;0007;29;C;02/08/2011;12
020004495;2024;12;020001087;0001;07A;C;30/11/2021;4
020004495;2024;12;020001087;0012;29;C;19/03/2020;10
020004495;2024;12;020001087;0008;29;C;02/08/2011;13
020004495;2024;12;020001087;0009;29;C;01/09/2015;1
