"","fi","an","fi_ej","rs","grp","stjr","cat","dep","reg","espic","COMINSEE","DISCI","DISCIPLINE","LIT","SEJHC","JOU","PLA","SEJHP","PAS","SEJACC","IVG","SEHEM","SERAD","SECHI"
"918","160000279",2024,"160000212","POLYCLINIQUE DE GRAND COGNAC","09",2,128,"16","75",0,"16102",21200,"Chirurgie",43,1240,4046,25,5410,NA,NA,NA,NA,NA,NA
"919","160000303",2024,"160006037","CH HOPITAUX SUD-CHARENTE","04",1,355,"16","75",1,"16028",21100,"Médecine",53,2288,13781,6,395,10211,NA,NA,NA,NA,NA
"920","160000303",2024,"160006037","CH HOPITAUX SUD-CHARENTE","04",1,355,"16","75",1,"16028",24000,"Soins de suite et réadaptation",102,792,21966,6,1308,NA,NA,NA,NA,NA,NA
"921","160000303",2024,"160006037","CH HOPITAUX SUD-CHARENTE","04",1,355,"16","75",1,"16028",25000,"Soins de longue durée",80,25,28677,NA,NA,NA,NA,NA,NA,NA,NA
"922","160000311",2024,"160000485","CENTRE HOSPITALIER CONFOLENS","04",1,355,"16","75",1,"16106",21100,"Médecine",27,2632,7967,2,156,10567,NA,NA,NA,NA,NA
"923","160000311",2024,"160000485","CENTRE HOSPITALIER CONFOLENS","04",1,355,"16","75",1,"16106",24000,"Soins de suite et réadaptation",25,247,7014,0,0,NA,NA,NA,NA,NA,NA
"924","160000311",2024,"160000485","CENTRE HOSPITALIER CONFOLENS","04",1,355,"16","75",1,"16106",25000,"Soins de longue durée",30,38,10042,NA,NA,NA,NA,NA,NA,NA,NA
"925","160000337",2024,"160000493","CENTRE HOSPITALIER DE RUFFEC","04",1,355,"16","75",1,"16292",21100,"Médecine",29,2077,7637,2,16,10897,NA,NA,NA,NA,NA
"926","160000337",2024,"160000493","CENTRE HOSPITALIER DE RUFFEC","04",1,355,"16","75",1,"16292",24000,"Soins de suite et réadaptation",20,221,5794,NA,0,NA,NA,NA,NA,NA,NA
"927","160000345",2024,"160000501","CH CAMILLE CLAUDEL","14",1,292,"16","75",1,"16113",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",157,1810,46700,148,10815,NA,NA,NA,NA,NA,NA
"928","160000360",2024,"160014411","CH DE CHATEAUNEUF","04",1,355,"16","75",1,"16090",21100,"Médecine",10,155,2403,NA,0,NA,NA,NA,NA,NA,NA
"929","160000360",2024,"160014411","CH DE CHATEAUNEUF","04",1,355,"16","75",1,"16090",24000,"Soins de suite et réadaptation",6,60,1690,NA,0,NA,NA,NA,NA,NA,NA
"930","160000360",2024,"160014411","CH DE CHATEAUNEUF","04",1,355,"16","75",1,"16090",25000,"Soins de longue durée",51,38,16713,NA,NA,NA,NA,NA,NA,NA,NA
"931","160002036",2024,"160009908","HAD MUTUALISTE","09",3,127,"16","75",6,"16015",23000,"Hospitalisation à domicile",NA,NA,40187,128,1362,NA,NA,NA,NA,NA,NA
"932","160006110",2024,"860000348","AURA POITOU-CH - LA COURONNE","07",3,146,"16","75",6,"16113",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,11522,NA,NA
"933","160008231",2024,"160001038","CLINIQUE VILLA BLEUE","15",2,161,"16","75",0,"16167",22000,"Psychiatrie (y.c. Toxicomanie et Alcoolisme jusqu'en 1998)",39,440,11974,NA,NA,NA,NA,NA,NA,NA,NA
"934","160009080",2024,"160001574","C.S.S.R. LES GLAMOTS - ROULLET ST E.","09",3,109,"16","75",6,"16287",24000,"Soins de suite et réadaptation",80,643,21314,30,8242,NA,NA,NA,NA,NA,NA
"935","160012159",2024,"860000348","AURA POITOU-CH - CHATEAUBERNARD","07",3,146,"16","75",6,"16089",21100,"Médecine",NA,NA,NA,NA,NA,NA,NA,NA,4108,NA,NA
"936","160012209",2024,"160012191","CLINIQUE LE MAS BLANC","09",2,109,"16","75",0,"16167",24000,"Soins de suite et réadaptation",38,297,11033,NA,0,NA,NA,NA,NA,NA,NA
