"eval_counter";"datetime";"start_id";"objective_value";"best_value";"is_best";"n_rep_obj";"beta_Cancer centre (CLCC)";"beta_General public hospital";"beta_Private for profit hospital";"beta_Private not-for-profit hospital";"beta_Rehabilitation hospital";"beta_University hospital";"inc_sim_Cancer centre (CLCC)";"inc_sim_General public hospital";"inc_sim_Private for profit hospital";"inc_sim_Private not-for-profit hospital";"inc_sim_Rehabilitation hospital";"inc_sim_University hospital";"sse_Cancer centre (CLCC)";"sse_General public hospital";"sse_Private for profit hospital";"sse_Private not-for-profit hospital";"sse_Rehabilitation hospital";"sse_University hospital"
11;"2026-06-30 23:12:48";1;1.99217408421262;1.9332216435235;FALSE;5;0.00129568669751702;0.00129568669751702;0.00129568669751702;0.00129568669751702;0.000771791515585012;0.00129568669751702;0.0557530434894423;0.0629759350010483;0.0592340372032914;0.0613766532412669;0.0328330148767021;0.0597467820444156;0.260508128821747;0.267768939458669;0.417333679665249;0.720204071024967;0.0885471941581833;0.237812071083801
12;"2026-06-30 23:18:24";1;1.94967099355198;1.9332216435235;FALSE;5;0.00158489319246111;0.00158489319246111;0.00158489319246111;0.00158489319246111;0.000926118728128793;0.000630957344480193;0.0800443808245814;0.0749602889948468;0.0710482829283952;0.0745227050938647;0.0341575340525367;0.0279587633011554;0.236301602223425;0.255509621889765;0.402208927262763;0.698064138516755;0.0877606773305263;0.269826026328749
13;"2026-06-30 23:23:55";1;1.98101903847337;1.9332216435235;FALSE;5;0.00141253754462275;0.00141253754462275;0.00141253754462275;0.00141253754462275;0.000944060876285924;0.000841395141645194;0.0644253982862131;0.0637503029065156;0.0636640412830221;0.0666347618525003;0.0449212475012913;0.0395833833914407;0.251730599312683;0.266968124154225;0.411629618091746;0.711307148033033;0.0814991576346053;0.257884391247075
14;"2026-06-30 23:28:56";1;1.92436090967517;1.92436090967517;TRUE;5;0.00184784979742229;0.00073564225445964;0.00184784979742229;0.00184784979742229;0.000902725177948457;0.00107977516232771;0.081450845159877;0.0334775348508493;0.0853827207590406;0.0871527416949593;0.0439106252064332;0.0505884206703319;0.234936191457034;0.299167812385711;0.384232618535867;0.677118806399254;0.0820772050559362;0.246828275841371
15;"2026-06-30 23:32:59";1;1.82244392167036;1.82244392167036;TRUE;5;0.00251188643150957;0.000446683592150962;0.00251188643150957;0.00251188643150957;0.000857695898590893;0.00112201845430196;0.111929321332509;0.0208644329014773;0.116476247199472;0.118593896887007;0.0382490980674978;0.0528039342540167;0.206319162023426;0.313124686494105;0.34665184837278;0.626363241864179;0.0853532133014083;0.244631769614462
16;"2026-06-30 23:36:49";1;1.85522387039438;1.82244392167036;FALSE;5;0.000999999999999998;0.00112201845430196;0.00251188643150957;0.00251188643150957;0.000857695898590892;0.00112201845430196;0.0402319706344428;0.0510994473177725;0.121371247782675;0.120894881253779;0.0307539392958412;0.0524291537335501;0.276592942746582;0.280201298873701;0.34091173598814;0.622726395054001;0.0897888527887947;0.245002644943162
17;"2026-06-30 23:40:18";1;1.91487111672468;1.82244392167036;FALSE;5;0.00118850222743702;0.00109018449238513;0.00199526231496887;0.00199526231496887;0.000891250938133745;0.00109018449238513;0.0662818246654332;0.0496920420594936;0.0894868098674294;0.0904257907058989;0.031518285479922;0.054384407226885;0.249871204873508;0.281693272693845;0.379161499690876;0.671742916576273;0.0893313675845506;0.24307085530563
18;"2026-06-30 23:43:38";2;1.91139604607658;1.82244392167036;FALSE;5;0.0015;0.0015;0.0015;0.0015;0.0015;0.0015;0.072380146745123;0.0694208545248381;0.070374713821967;0.0703598546357437;0.0632961288177231;0.0709643858546224;0.243811643396705;0.261140449419045;0.403063735255716;0.705037610330588;0.0713454505991787;0.226997157075343
19;"2026-06-30 23:46:56";2;1.86147029152991;1.82244392167036;FALSE;5;0.00287396935624967;0.0015;0.0015;0.0015;0.0015;0.0015;0.137059228469858;0.0728801143219109;0.0692363310284242;0.0648569196310016;0.0611017492512197;0.0695051809760775;0.184121475876471;0.257616920722665;0.404510488186035;0.71430913841947;0.0725225284452853;0.228389739879987
20;"2026-06-30 23:50:17";2;1.82825799583535;1.82244392167036;FALSE;5;0.0015;0.00287396935624967;0.0015;0.0015;0.0015;0.0015;0.0812254508231164;0.137841682724644;0.0716156434467147;0.0743359246673735;0.0660837795345159;0.0704577639718934;0.235154740506911;0.195893168580527;0.401489609716905;0.698376284365647;0.0698640268492108;0.227480165816146
