"eval_counter";"datetime";"start_id";"objective_value";"best_value";"is_best";"n_rep_obj";"beta_Cancer centre (CLCC)";"beta_General public hospital (CH)";"beta_Non-profit facility (PSPH/EBNL)";"beta_Private";"beta_Regional/University hospital (CHR/U)";"inc_sim_Cancer centre (CLCC)";"inc_sim_General public hospital (CH)";"inc_sim_Non-profit facility (PSPH/EBNL)";"inc_sim_Private";"inc_sim_Regional/University hospital (CHR/U)";"sse_Cancer centre (CLCC)";"sse_General public hospital (CH)";"sse_Non-profit facility (PSPH/EBNL)";"sse_Private";"sse_Regional/University hospital (CHR/U)"
20;"2026-06-30 13:07:50";1;7.59742618054858;6.51183060605971;FALSE;5;0.0355812193822953;0.0391483512489945;0.0378985191795078;0.0308921018960342;0.0462606534934509;1.98291194237407;1.45342401449583;1.37429616982127;1.27990163976261;2.3932659394131;2.19655755500537;0.893446793133724;0.489871832576149;0.45525571131625;3.56229428851708
21;"2026-06-30 13:12:53";1;7.3325438901646;6.51183060605971;FALSE;5;0.0391134861964007;0.0347163123587431;0.0483004357284385;0.0354984645770425;0.038156034988025;2.15113972089194;1.25117796804166;1.86296587715351;1.45371095828422;1.89304827577605;2.72351178706031;0.552014968405517;1.41271802622887;0.720012861154186;1.92428624731572
22;"2026-06-30 13:17:49";1;7.74880919024717;6.51183060605971;FALSE;5;0.0377607840357826;0.0380821652934763;0.0457431354189581;0.0370771573282653;0.0386331415126822;2.20294600084286;1.39113577821914;1.84800394124697;1.506553227289;1.87779100546074;2.89718816642225;0.779574052379057;1.37737502545919;0.812482271667031;1.88218967431964
23;"2026-06-30 13:22:53";1;6.03275905972885;6.03275905972885;TRUE;5;0.03925410741677;0.0322322240473946;0.0395584729454881;0.0400790268409382;0.0374352433612399;1.94448530438256;1.15233288801676;1.4809169273278;1.66992892658619;1.82856046415092;2.0841315508412;0.414906056800032;0.650489355871515;1.13370040801697;1.74953168819914
24;"2026-06-30 13:27:53";1;7.17453686768017;6.03275905972885;FALSE;5;0.0414054486054697;0.0264997423777352;0.0360301043328735;0.0417926196280008;0.0361802541680208;2.39447853541125;0.913060059057799;1.36771139154408;1.76206505474516;1.77300084824134;3.58589285616693;0.163910963068679;0.480697708020559;1.33839403793943;1.60564130248458
25;"2026-06-30 13:32:51";1;5.72955604974704;5.72955604974704;TRUE;5;0.0343633497447275;0.0352460059664746;0.0469503521163817;0.0369617361303985;0.0365264691161986;1.65978960484198;1.29127593598425;1.85888316004758;1.56534534902247;1.70927918810651;1.34318007063244;0.613206559167672;1.40302943809234;0.921926633677481;1.44821334817711
26;"2026-06-30 13:37:53";1;5.86687329981922;5.72955604974704;FALSE;5;0.0318502791334021;0.0330852842299433;0.0508660817503975;0.035530273271274;0.0349045098002954;1.64892137032548;1.18858886688145;2.04896937362678;1.48047277561591;1.7017792233704;1.31810656800254;0.462927826475371;1.8894747115775;0.766145771677622;1.4302184220862
27;"2026-06-30 13:42:54";1;6.91345090353015;5.72955604974704;FALSE;5;0.0299572089229403;0.0305849979548783;0.0466920705753725;0.0382811727054312;0.0449490834488548;1.57870296131174;1.07993945104394;1.79846257296553;1.60121887798927;2.28606276155029;1.16180333610111;0.326885005201198;1.26354426614787;0.992102924024941;3.16911537205503
28;"2026-06-30 13:47:54";1;6.39998318290695;5.72955604974704;FALSE;5;0.0326453305579046;0.0332446368791378;0.0454825780820696;0.0382457535732834;0.0417970829708191;1.62351706069474;1.19489527933815;1.79906456324747;1.58700349165496;2.06763328703826;1.26041916954468;0.471549211992904;1.2648979928107;0.96398671106172;2.43913009749694
29;"2026-06-30 13:52:58";1;6.61236658009376;5.72955604974704;FALSE;5;0.0300990561232172;0.0369667336445016;0.0396735067801091;0.0423742783834896;0.0410593498064083;1.65122453608151;1.36886426377493;1.511738928003;1.84214749633826;2.02802060814109;1.32340034753568;0.74074147760557;0.701157038898148;1.53010035704669;2.31696735900766
30;"2026-06-30 13:58:05";1;6.16685932288754;5.72955604974704;FALSE;5;0.0321363307975889;0.0363908085891543;0.0416738097331481;0.0405395691520069;0.0403134401670695;1.60861860620322;1.35337214751555;1.54873134342242;1.73164364431824;1.98638483658279;1.22718862310478;0.71431448855467;0.764476764879908;1.26893106055084;2.19194838579735
31;"2026-06-30 14:03:07";1;6.71299988060496;5.72955604974704;FALSE;5;0.0400668579384183;0.033347686066443;0.0386934441178225;0.0331114126299447;0.0390503779593929;2.26960048406261;1.19902475848877;1.43516124790886;1.38112684382427;1.89379089490456;3.12853789183361;0.477237645084438;0.578776354728747;0.602100887773967;1.9263471011842
32;"2026-06-30 14:09:06";1;6.67712111717317;5.72955604974704;FALSE;5;0.037315668001087;0.034425813735521;0.0406516293900304;0.0355454750271702;0.0393284139882166;2.1277962771053;1.22135340810501;1.56495425545848;1.48675800093203;1.90272568492368;2.64700902596231;0.508586542789061;0.793108747010222;0.777188160164884;1.9512286412467
