seed_rule,seed_type,beta_regime,rep_id,sim_seed,beta_within_iter,seed_hospital_iter
largest_beds,fixed,low,14,11014,0.005682275376178242,940000573
largest_beds,fixed,low,2,11002,0.005735981629763286,940000573
largest_beds,fixed,low,9,11009,0.005736733073273484,940000573
largest_beds,fixed,low,7,11007,0.005980174615304863,940000573
largest_beds,fixed,low,10,11010,0.007082184838806024,940000573
largest_beds,fixed,low,1,11001,0.007636923745742374,940000573
largest_beds,fixed,low,17,11017,0.007861800370371647,940000573
largest_beds,fixed,low,15,11015,0.008222135681357857,940000573
largest_beds,fixed,low,5,11005,0.008289253537182694,940000573
largest_beds,fixed,low,6,11006,0.0087864994275477,940000573
largest_beds,fixed,mid,3,11003,0.0013348618875221787,940000573
largest_beds,fixed,mid,17,11017,0.0031343546373878636,940000573
largest_beds,fixed,mid,13,11013,0.005537319724398973,940000573
largest_beds,fixed,mid,11,11011,0.007772066217095064,940000573
largest_beds,fixed,mid,5,11005,0.00825717860820217,940000573
largest_beds,fixed,mid,7,11007,0.008303860011077462,940000573
largest_beds,fixed,mid,10,11010,0.008375840369998331,940000573
largest_beds,fixed,mid,4,11004,0.009590111313124821,940000573
largest_beds,fixed,mid,2,11002,0.011189451809136637,940000573
largest_beds,fixed,mid,14,11014,0.011965251752898205,940000573
largest_beds,fixed,mid,18,11018,0.012966210971235846,940000573
largest_beds,fixed,mid,19,11019,0.01443747881619253,940000573
largest_beds,fixed,mid,9,11009,0.014498754628620275,940000573
largest_beds,fixed,mid,8,11008,0.014885892457082057,940000573
largest_beds,fixed,mid,12,11012,0.015173067142046597,940000573
largest_beds,fixed,mid,15,11015,0.01566944554800165,940000573
largest_beds,fixed,mid,20,11020,0.016949320752733324,940000573
largest_beds,fixed,mid,1,11001,0.017071836183330413,940000573
largest_beds,fixed,mid,6,11006,0.020920363252501226,940000573
largest_beds,fixed,mid,16,11016,0.026613471699032925,940000573
random_MCO,type_random,high,19,11019,0.0013058846549176932,210987699
random_MCO,type_random,high,8,11008,0.007132926475165046,340780717
random_MCO,type_random,high,6,11006,0.011344124479703847,920300787
random_MCO,type_random,high,4,11004,0.01405929272109981,470000159
random_MCO,type_random,high,7,11007,0.01493883481448045,780300422
random_MCO,type_random,high,5,11005,0.015293539956781172,530008788
random_MCO,type_random,high,3,11003,0.01624922451388594,330780040
random_MCO,type_random,high,10,11010,0.019520846083861447,690054713
random_MCO,type_random,high,18,11018,0.02066338432746034,380013037
random_MCO,type_random,high,12,11012,0.021662029838736236,240000216
random_MCO,type_random,high,16,11016,0.023817363206988382,110000023
random_MCO,type_random,high,15,11015,0.027583093885849667,770000446
random_MCO,type_random,high,1,11001,0.02862659363199643,730000262
random_MCO,type_random,high,20,11020,0.029411075149386047,540001286
random_MCO,type_random,high,14,11014,0.030920565964364204,670799667
random_MCO,type_random,high,9,11009,0.03128659938883805,140016759
random_MCO,type_random,high,11,11011,0.032374558059402134,330000589
random_MCO,type_random,high,13,11013,0.03851945116072104,770813400
random_MCO,type_random,high,17,11017,0.03906857330551345,750300667
random_MCO,type_random,high,2,11002,0.04212319862880011,630000479
random_MCO,type_random,low,13,11013,5.557824619458048e-4,770813400
random_MCO,type_random,low,18,11018,0.003211175938422628,380013037
random_MCO,type_random,low,4,11004,0.0032115623371436796,470000159
random_MCO,type_random,low,12,11012,0.0034514416622792215,240000216
random_MCO,type_random,low,8,11008,0.0035295010399841497,340780717
random_MCO,type_random,low,20,11020,0.003562223327239644,540001286
random_MCO,type_random,low,3,11003,0.0036001061769761356,330780040
random_MCO,type_random,low,11,11011,0.005085265204119313,330000589
random_MCO,type_random,low,16,11016,0.005169270191932729,110000023
random_MCO,type_random,low,19,11019,0.005470742154229341,210987699
random_MCO,type_random,low,14,11014,0.005682275376178242,670799667
random_MCO,type_random,low,2,11002,0.005735981629763286,630000479
random_MCO,type_random,low,9,11009,0.005736733073273484,140016759
random_MCO,type_random,low,7,11007,0.005980174615304863,780300422
random_MCO,type_random,low,10,11010,0.007082184838806024,690054713
random_MCO,type_random,low,1,11001,0.007636923745742374,730000262
random_MCO,type_random,low,17,11017,0.007861800370371647,750300667
random_MCO,type_random,low,15,11015,0.008222135681357857,770000446
random_MCO,type_random,low,5,11005,0.008289253537182694,530008788
random_MCO,type_random,low,6,11006,0.0087864994275477,920300787
random_MCO,type_random,mid,3,11003,0.0013348618875221787,330780040
random_MCO,type_random,mid,17,11017,0.0031343546373878636,750300667
random_MCO,type_random,mid,13,11013,0.005537319724398973,770813400
random_MCO,type_random,mid,11,11011,0.007772066217095064,330000589
random_MCO,type_random,mid,5,11005,0.00825717860820217,530008788
random_MCO,type_random,mid,7,11007,0.008303860011077462,780300422
random_MCO,type_random,mid,10,11010,0.008375840369998331,690054713
random_MCO,type_random,mid,4,11004,0.009590111313124821,470000159
random_MCO,type_random,mid,2,11002,0.011189451809136637,630000479
random_MCO,type_random,mid,14,11014,0.011965251752898205,670799667
random_MCO,type_random,mid,18,11018,0.012966210971235846,380013037
random_MCO,type_random,mid,19,11019,0.01443747881619253,210987699
random_MCO,type_random,mid,9,11009,0.014498754628620275,140016759
random_MCO,type_random,mid,8,11008,0.014885892457082057,340780717
random_MCO,type_random,mid,12,11012,0.015173067142046597,240000216
random_MCO,type_random,mid,15,11015,0.01566944554800165,770000446
random_MCO,type_random,mid,20,11020,0.016949320752733324,540001286
random_MCO,type_random,mid,1,11001,0.017071836183330413,730000262
random_MCO,type_random,mid,6,11006,0.020920363252501226,920300787
random_MCO,type_random,mid,16,11016,0.026613471699032925,110000023
random_MCO_SSR,type_random,high,19,11019,0.0013058846549176932,750055287
random_MCO_SSR,type_random,high,8,11008,0.007132926475165046,770000149
random_MCO_SSR,type_random,high,6,11006,0.011344124479703847,350005021
random_MCO_SSR,type_random,high,4,11004,0.01405929272109981,580972685
random_MCO_SSR,type_random,high,7,11007,0.01493883481448045,750100232
