"","finess_geo","n_patients","n_infected","prevalence","date"
"84","070000187",1,0,0,2024-01-07
"85","070000195",4,0,0,2024-01-07
"86","070000203",1,0,0,2024-01-07
"87","070000484",2,0,0,2024-01-07
"88","070000609",49,0,0,2024-01-07
"89","070780168",4,0,0,2024-01-07
"90","070780424",17,0,0,2024-01-07
"91","080000110",19,0,0,2024-01-07
"92","080000219",8,0,0,2024-01-07
"93","080000276",1,0,0,2024-01-07
"94","080000284",1,0,0,2024-01-07
"95","080000300",1,0,0,2024-01-07
"96","080000425",79,0,0,2024-01-07
"97","080010465",5,0,0,2024-01-07
"98","080010473",17,0,0,2024-01-07
"99","090000175",44,0,0,2024-01-07
"100","090000183",10,0,0,2024-01-07
"101","090001629",1,0,0,2024-01-07
"102","100000082",6,0,0,2024-01-07
"103","100000090",56,0,0,2024-01-07
"104","100000116",1,0,0,2024-01-07
"105","100000124",5,0,0,2024-01-07
"106","100000140",2,0,0,2024-01-07
"107","100000199",12,0,0,2024-01-07
"108","100009364",1,0,0,2024-01-07
"109","100009380",2,0,0,2024-01-07
"110","100010818",14,0,0,2024-01-07
"111","100013010",16,0,0,2024-01-07
"112","110000023",71,0,0,2024-01-07
"113","110000049",4,0,0,2024-01-07
"114","110000056",25,0,0,2024-01-07
"115","110000189",1,0,0,2024-01-07
"116","110000247",4,0,0,2024-01-07
"117","110780228",12,0,0,2024-01-07
"118","110780236",1,0,0,2024-01-07
"119","110780483",7,0,0,2024-01-07
"120","120000039",68,0,0,2024-01-07
"121","120000054",11,0,0,2024-01-07
"122","120000070",7,0,0,2024-01-07
"123","120000088",1,0,0,2024-01-07
"124","120000096",1,0,0,2024-01-07
"125","120004569",9,0,0,2024-01-07
"126","120004668",14,0,0,2024-01-07
"127","130000409",52,0,0,2024-01-07
"128","130000516",3,0,0,2024-01-07
"129","130000565",24,0,0,2024-01-07
"130","130001225",35,0,0,2024-01-07
"131","130001647",20,0,0,2024-01-07
"132","130002215",18,0,0,2024-01-07
"133","130002827",22,0,0,2024-01-07
"134","130002835",52,0,0,2024-01-07
"135","130008253",7,0,0,2024-01-07
"136","130041767",4,0,0,2024-01-07
"137","130042096",4,0,0,2024-01-07
"138","130043664",12,0,0,2024-01-07
