"","date","total_patients","total_infected","overall_prevalence"
"82",2024-03-28,25066,196,0.00781935689778984
"83",2024-03-29,25066,195,0.00777946221973989
"84",2024-03-30,25066,194,0.00773956754168994
"85",2024-03-31,25066,194,0.00773956754168994
"86",2024-04-01,25066,195,0.00777946221973989
"87",2024-04-02,25066,196,0.00781935689778984
"88",2024-04-03,25066,197,0.00785925157583978
"89",2024-04-04,25066,197,0.00785925157583978
"90",2024-04-05,25066,197,0.00785925157583978
"91",2024-04-06,25066,197,0.00785925157583978
"92",2024-04-07,25066,198,0.00789914625388973
"93",2024-04-08,25066,198,0.00789914625388973
"94",2024-04-09,25066,198,0.00789914625388973
"95",2024-04-10,25066,199,0.00793904093193968
"96",2024-04-11,25066,199,0.00793904093193968
"97",2024-04-12,25066,198,0.00789914625388973
"98",2024-04-13,25066,198,0.00789914625388973
"99",2024-04-14,25066,200,0.00797893560998963
"100",2024-04-15,25066,200,0.00797893560998963
"101",2024-04-16,25066,200,0.00797893560998963
"102",2024-04-17,25066,199,0.00793904093193968
"103",2024-04-18,25066,200,0.00797893560998963
"104",2024-04-19,25066,200,0.00797893560998963
"105",2024-04-20,25066,200,0.00797893560998963
"106",2024-04-21,25066,199,0.00793904093193968
"107",2024-04-22,25066,200,0.00797893560998963
"108",2024-04-23,25066,202,0.00805872496608952
"109",2024-04-24,25066,203,0.00809861964413947
"110",2024-04-25,25066,202,0.00805872496608952
"111",2024-04-26,25066,202,0.00805872496608952
"112",2024-04-27,25066,201,0.00801883028803958
"113",2024-04-28,25066,199,0.00793904093193968
"114",2024-04-29,25066,199,0.00793904093193968
"115",2024-04-30,25066,199,0.00793904093193968
"116",2024-05-01,25066,199,0.00793904093193968
"117",2024-05-02,25066,199,0.00793904093193968
"118",2024-05-03,25066,199,0.00793904093193968
"119",2024-05-04,25066,200,0.00797893560998963
"120",2024-05-05,25066,200,0.00797893560998963
"121",2024-05-06,25066,200,0.00797893560998963
"122",2024-05-07,25066,199,0.00793904093193968
"123",2024-05-08,25066,200,0.00797893560998963
"124",2024-05-09,25066,199,0.00793904093193968
"125",2024-05-10,25066,199,0.00793904093193968
"126",2024-05-11,25066,199,0.00793904093193968
"127",2024-05-12,25066,200,0.00797893560998963
"128",2024-05-13,25066,200,0.00797893560998963
"129",2024-05-14,25066,200,0.00797893560998963
"130",2024-05-15,25066,200,0.00797893560998963
"131",2024-05-16,25066,199,0.00793904093193968
"132",2024-05-17,25066,199,0.00793904093193968
"133",2024-05-18,25066,200,0.00797893560998963
"134",2024-05-19,25066,199,0.00793904093193968
"135",2024-05-20,25066,199,0.00793904093193968
"136",2024-05-21,25066,198,0.00789914625388973
"137",2024-05-22,25066,198,0.00789914625388973
"138",2024-05-23,25066,198,0.00789914625388973
"139",2024-05-24,25066,198,0.00789914625388973
"140",2024-05-25,25066,199,0.00793904093193968
"141",2024-05-26,25066,199,0.00793904093193968
"142",2024-05-27,25066,199,0.00793904093193968
"143",2024-05-28,25066,197,0.00785925157583978
"144",2024-05-29,25066,197,0.00785925157583978
"145",2024-05-30,25066,197,0.00785925157583978
"146",2024-05-31,25066,196,0.00781935689778984
"147",2024-06-01,25066,196,0.00781935689778984
"148",2024-06-02,25066,196,0.00781935689778984
"149",2024-06-03,25066,197,0.00785925157583978
"150",2024-06-04,25066,198,0.00789914625388973
"151",2024-06-05,25066,199,0.00793904093193968
"152",2024-06-06,25066,200,0.00797893560998963
"153",2024-06-07,25066,200,0.00797893560998963
"154",2024-06-08,25066,202,0.00805872496608952
"155",2024-06-09,25066,200,0.00797893560998963
"156",2024-06-10,25066,200,0.00797893560998963
"157",2024-06-11,25066,201,0.00801883028803958
"158",2024-06-12,25066,202,0.00805872496608952
"159",2024-06-13,25066,203,0.00809861964413947
"160",2024-06-14,25066,202,0.00805872496608952
"161",2024-06-15,25066,201,0.00801883028803958
"162",2024-06-16,25066,201,0.00801883028803958
"163",2024-06-17,25066,201,0.00801883028803958
"164",2024-06-18,25066,201,0.00801883028803958
"165",2024-06-19,25066,200,0.00797893560998963
"166",2024-06-20,25066,200,0.00797893560998963
"167",2024-06-21,25066,200,0.00797893560998963
"168",2024-06-22,25066,200,0.00797893560998963
"169",2024-06-23,25066,199,0.00793904093193968
"170",2024-06-24,25066,199,0.00793904093193968
"171",2024-06-25,25066,200,0.00797893560998963
"172",2024-06-26,25066,200,0.00797893560998963
"173",2024-06-27,25066,200,0.00797893560998963
"174",2024-06-28,25066,202,0.00805872496608952
"175",2024-06-29,25066,202,0.00805872496608952
"176",2024-06-30,25066,202,0.00805872496608952
"177",2024-07-01,25066,203,0.00809861964413947
"178",2024-07-02,25066,203,0.00809861964413947
"179",2024-07-03,25066,203,0.00809861964413947
"180",2024-07-04,25066,205,0.00817840900023937
"181",2024-07-05,25066,203,0.00809861964413947
"182",2024-07-06,25066,204,0.00813851432218942
"183",2024-07-07,25066,205,0.00817840900023937
"184",2024-07-08,25066,205,0.00817840900023937
"185",2024-07-09,25066,205,0.00817840900023937
"186",2024-07-10,25066,205,0.00817840900023937
"187",2024-07-11,25066,205,0.00817840900023937
"188",2024-07-12,25066,204,0.00813851432218942
"189",2024-07-13,25066,204,0.00813851432218942
"190",2024-07-14,25066,204,0.00813851432218942
"191",2024-07-15,25066,204,0.00813851432218942
"192",2024-07-16,25066,204,0.00813851432218942
"193",2024-07-17,25066,204,0.00813851432218942
"194",2024-07-18,25066,202,0.00805872496608952
"195",2024-07-19,25066,202,0.00805872496608952
"196",2024-07-20,25066,202,0.00805872496608952
"197",2024-07-21,25066,202,0.00805872496608952
"198",2024-07-22,25066,201,0.00801883028803958
"199",2024-07-23,25066,201,0.00801883028803958
"200",2024-07-24,25066,201,0.00801883028803958
